Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Chris Bartley;28;2012;08/12/2012;0;1;0
Romano Battisti;25;2012;08/12/2012;0;1;0
Anna Bebington-Watkins;29;2012;08/12/2012;1;0;0
Claudia Belderbos;27;2012;08/12/2012;0;0;1
Gabe Bergen;30;2012;08/12/2012;0;1;0
Hamish Bond;26;2012;08/12/2012;1;0;0
Carline Bouw;27;2012;08/12/2012;0;0;1
Matthew Brittain;25;2012;08/12/2012;1;0;0
Jeremiah Brown;26;2012;08/12/2012;0;1;0
Ashley Brzozowicz;29;2012;08/12/2012;0;1;0
Andrew Byrnes;29;2012;08/12/2012;0;1;0
Erin Cafaro;29;2012;08/12/2012;1;0;0
Alan Campbell;29;2012;08/12/2012;0;0;1
Peter Chambers;22;2012;08/12/2012;0;1;0
Richard Chambers;27;2012;08/12/2012;0;1;0
James Chapman;32;2012;08/12/2012;0;1;0
Germain Chardin;29;2012;08/12/2012;0;1;0
Nathan Cohen;26;2012;08/12/2012;1;0;0
Charlie Cole;26;2012;08/12/2012;0;0;1
Iztok Cop;40;2012;08/12/2012;0;0;1
Kat Copeland;21;2012;08/12/2012;1;0;0
Will Crothers;25;2012;08/12/2012;0;1;0
Douglas Csima;26;2012;08/12/2012;0;1;0
Caryn Davies;30;2012;08/12/2012;1;0;0
Sytske de Groot;26;2012;08/12/2012;0;0;1
Annemiek de Haan;31;2012;08/12/2012;0;0;1
