Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Martin Rettl;28;2002;02/24/2002;0;1;0
Jim Shea Jr.;33;2002;02/24/2002;1;0;0
Gregor Stähli;33;2002;02/24/2002;0;0;1
Nasser Al-Attiya;41;2012;08/12/2012;0;0;1
Fehaid Al-Deehani;45;2012;08/12/2012;0;0;1
Danka Barteková;27;2012;08/12/2012;0;0;1
Jamie Beyerle-Gray;28;2012;08/12/2012;1;0;0
Sylwia Bogacka;30;2012;08/12/2012;0;1;0
Giovanni Cernogoraz;29;2012;08/12/2012;1;0;0
Chen Ying;34;2012;08/12/2012;0;1;0
Choi Yeong-Rae;30;2012;08/12/2012;0;1;0
Lionel Cox;31;2012;08/12/2012;0;1;0
Håkan Dahlby;46;2012;08/12/2012;0;1;0
Rajmond Debevec;49;2012;08/12/2012;0;0;1
Ding Feng;25;2012;08/12/2012;0;0;1
Matt Emmons;31;2012;08/12/2012;0;0;1
Massimo Fabbrizi;34;2012;08/12/2012;0;1;0
Celine Goberville;25;2012;08/12/2012;0;1;0
Anders Golding;28;2012;08/12/2012;0;1;0
Guo Wenjun;28;2012;08/12/2012;1;0;0
Vincent Hancock;23;2012;08/12/2012;1;0;0
Kim Jang-Mi;19;2012;08/12/2012;1;0;0
Kim Jong-Hyeon;27;2012;08/12/2012;0;1;0
Vijay Kumar;26;2012;08/12/2012;0;1;0
Ivana Maksimovic;22;2012;08/12/2012;0;1;0
Sergey Martynov;44;2012;08/12/2012;1;0;0
Alin Moldoveanu;29;2012;08/12/2012;1;0;0
Vasily Mosin;40;2012;08/12/2012;0;0;1
Gagan Narang;29;2012;08/12/2012;0;0;1
Leuris Pupo;35;2012;08/12/2012;1;0;0
Delphine Racinet-Reau;38;2012;08/12/2012;0;0;1
Kim Rhode;33;2012;08/12/2012;1;0;0
Jessica Rossi;20;2012;08/12/2012;1;0;0
Zuzana Štefeceková;28;2012;08/12/2012;0;1;0
Adéla Sýkorová;25;2012;08/12/2012;0;0;1
Luca Tesconi;30;2012;08/12/2012;0;1;0
Wang Zhiwei;24;2012;08/12/2012;0;0;1
Wei Ning;29;2012;08/12/2012;0;1;0
Peter Wilson;25;2012;08/12/2012;1;0;0
Yi Siling;23;2012;08/12/2012;1;0;0
Yu Dan;24;2012;08/12/2012;0;0;1
Andrija Zlatic;34;2012;08/12/2012;0;0;1
Artur Aivazian;35;2008;08/24/2008;1;0;0
Aleksey Alipov;33;2008;08/24/2008;0;0;1
